timestamp,value
0.0,20.064409237657774
0.1,20.172305697081818
0.2,20.201986121241973
0.3,20.25729302411276
0.4,20.334809681553445
0.5,20.48099226444579
0.6,20.513537314894492
0.7,20.572376214982565
0.8,20.72732168972371
0.9,20.789995639860415
1.0,20.868794399824807
1.1,20.84550881287467
1.2,20.932289350148555
1.3,20.96032109739856
1.4,20.910158279925422
1.5,21.024394845537106
1.6,21.015609158091447
1.7,21.111120412614504
1.8,20.983996089743695
1.9,20.93906497227917
2.0,20.970935285577127
2.1,20.873148929058544
2.2,20.85394795512725
2.3,20.727427998865092
2.4,20.686371771219182
2.5,20.64968657802831
2.6,20.550313722944114
2.7,20.433803492665472
2.8,20.280872748926104
2.9,20.261510417832035
3.0,20.14496318214583
3.1,20.077604042276253
3.2,19.952437503462424
3.3,19.896663576413527
3.4,19.74188088470197
3.5,19.659314975314352
3.6,19.590818378636428
3.7,19.415819628482783
3.8,19.368059096053578
3.9,19.287232412368407
4.0,19.342228290668235
4.1,19.177079787652783
4.2,19.16103523877679
4.3,19.11480281635923
4.4,19.034354254601137
4.5,18.94492804097838
4.6,19.05455119490034
4.7,18.979716903952717
4.8,19.039733224001406
4.9,18.95228414612017
5.0,19.01917657523837
5.1,19.137026384902533
5.2,19.188095543682472
5.3,19.10260962671918
5.4,19.160595138489565
5.5,19.292246452549517
5.6,19.405145428293615
5.7,19.457339691371327
5.8,19.550575555977595
5.9,19.576681513921034
6.0,19.749924087491763
6.1,19.873680112784747
6.2,19.895126971168306
6.3,19.945139497301177
6.4,20.078608163666306
6.5,20.25320288837966
6.6,20.224856503921558
6.7,20.400256081226317
6.8,20.444562936881333
6.9,20.571883042289315
7.0,20.644760519381386
7.1,20.72976187928949
7.2,20.86872823366432
7.3,20.87147214280896
7.4,20.96539373307989
7.5,20.930929341059567
7.6,20.943940341640136
7.7,21.0071087629903
7.8,20.8567538060406
7.9,20.99694690110517
8.0,20.997366736077144
8.1,20.908129373644407
8.2,20.9639488178084
8.3,20.874209593539945
8.4,20.731643898574433
8.5,20.787821193105092
8.6,20.685454810659273
8.7,20.636939436452177
8.8,20.577302971956495
8.9,20.563569623919577
9.0,20.417275894188837
9.1,20.31767408110017
9.2,20.242340134908616
9.3,20.03384980521583
9.4,20.086781618984535
9.5,19.87099453352337
9.6,19.84762797233377
9.7,19.671900348815626
9.8,19.584696602517525
9.9,19.522649712461103
10.0,19.55076631224155
